_id,title,top_image,url,date,short_description,text,convertedDate,count
65e5131c4390593f61fbacf5,"G7 summit in Biarritz, France: Live updates",https://cdn.cnn.com/cnnnext/dam/assets/190826112137-07-trump-macron-g7-handshake-super-tease.jpg,https://news.google.com/rss/articles/CBMiS2h0dHBzOi8vd3d3LmNubi5jb20vcG9saXRpY3MvbGl2ZS1uZXdzL2c3LXN1bW1pdC1tb25kYXktZGxlLWludGwvaW5kZXguaHRtbNIBT2h0dHBzOi8vYW1wLmNubi5jb20vY25uL3BvbGl0aWNzL2xpdmUtbmV3cy9nNy1zdW1taXQtbW9uZGF5LWRsZS1pbnRsL2luZGV4Lmh0bWw?oc=5&hl=en-US&gl=US&ceid=US:en,2019-08-26,Trump and world leaders meet at G7 summit: Live updates  CNN,"President Trump, when asked about the climate crisis, said he wants clean air and clean water — but also wants the US to hold onto its ""tremendous wealth.""

A reporter asked Trump, ""What do you think the world should be doing about climate change and do you still harbor that skepticism?""

Trump said the US has become ""the No. 1 energy producer in the world.""

""I feel that the United States has tremendous wealth. The wealth is under its feet. I’ve made that wealth come alive,"" he said. ""And I’m not going to lose that wealth. I’m not going to lose it on dreams — on windmills, which frankly aren’t working too well. ”

Trump said that while he wanted to continue energy production, he see himself as an environmentalist.

""I want the cleanest water on Earth. I want the cleanest air on Earth. And that’s what we’re doing. And I’m an environmentalist,"" he said.

""I think I know more about the environment than most people. I want clean air. I want clean water. I want a wealthy country. I want a spectacular country with jobs, with pensions and so many things and that’s what we’re getting.""

Some context: Earlier today, Trump skipped a session devoted to climate change at the G7 summit.

In the lead-up to the G7, Trump's aides said he wasn't entirely interested in the climate portions of the summit, believing them a waste of time compared to discussion of the economy.

After past G7s, Trump complained that too much time was spent on issues he deemed unimportant, like clearing oceans of plastics.",2019-08-26,1
65e5131c4390593f61fbacc5,Here's what to watch for at Nikki Haley's upcoming CNN town hall in New Hampshire,https://dynaimage.cdn.cnn.com/cnn/digital-images/org/afe66ef2-50b1-49a3-967a-65d98b08a66d.jpg,https://edition.cnn.com/politics/live-news/haley-town-hall-election-news-01-18-24/h_7c8796c0f8639aae2a776c1ddb1d2e91?Date=20240119&Profile=CNN,2024-01-18,Live updates: Nikki Haley town hall in New Hampshire  CNN,"The stage is set ahead of a CNN Republican Presidential Town Hall with former South Carolina Gov. Nikki Haley at New England College in Henniker, New Hampshire, on January 18. Will Lanzoni/CNN

Nikki Haley is set to participate in a CNN town hall tonight at 9 p.m. ET, just days before a New Hampshire primary that the onetime South Carolina governor hopes will shake loose former President Donald Trump’s hold on the 2024 Republican race.

Haley’s campaign has long viewed the Granite State — where the GOP primary electorate includes more moderates and independents than other early-voting states — as her best shot at a win. Trump, whose campaign in recent weeks has identified Haley as a threat, has escalated his attacks against her ahead of the primary.

Here are a few things to watch for at Thursday night's town hall:

Haley will need to hit Trump, but how? Wary of alienating the huge portion of the GOP base that remains loyal to the former president, Haley in recent days has lumped Trump together with President Joe Biden — swiping at both of them with an argument for generational change.

Wary of alienating the huge portion of the GOP base that remains loyal to the former president, Haley in recent days has lumped Trump together with President Joe Biden — swiping at both of them with an argument for generational change. Will she reply to Trump's racist attacks? In a post Tuesday on his Truth Social platform, Trump slammed Haley while referring to her first name, Nimarata — which he misspelled as Nimrada. Trump also recently amplified a post that falsely claimed Haley was ineligible to run for president because her parents were not United States citizens at the time of her birth. She was born in South Carolina, and is a US citizen. Her response to these attacks will be a key element of this town hall.

In a post Tuesday on his Truth Social platform, Trump slammed Haley while referring to her first name, Nimarata — which he misspelled as Nimrada. Trump also recently amplified a post that falsely claimed Haley was ineligible to run for president because her parents were not United States citizens at the time of her birth. She was born in South Carolina, and is a US citizen. Her response to these attacks will be a key element of this town hall. If she wins in New Hampshire, what about South Carolina? While New Hampshire’s GOP primary electorate is relatively moderate, South Carolina’s is much more conservative — and even though it’s Haley’s home state, polls show Trump is well ahead there. If Haley defeats Trump in New Hampshire, all eyes would be on the Palmetto State’s February 24 primary

Read up on more things to watch ahead of tonight's CNN town hall.",2024-01-18,1
65e66758f96774f41ee10fad,Jan 6 hearings day 4: Trump pressured state officials to overturn the election,https://cdn.cnn.com/cnnnext/dam/assets/220621102014-01-january-6-hearings-0621-screengrab-super-tease.jpg,https://news.google.com/rss/articles/CBMiTGh0dHBzOi8vd3d3LmNubi5jb20vcG9saXRpY3MvbGl2ZS1uZXdzL2phbnVhcnktNi1oZWFyaW5ncy1qdW5lLTIxL2luZGV4Lmh0bWzSAVBodHRwczovL2FtcC5jbm4uY29tL2Nubi9wb2xpdGljcy9saXZlLW5ld3MvamFudWFyeS02LWhlYXJpbmdzLWp1bmUtMjEvaW5kZXguaHRtbA?oc=5&hl=en-US&gl=US&ceid=US:en,2022-06-21,Jan. 6 hearings day 4  CNN,"An audio recording of a phone call between then-President Donald Trump and Georgia Secretary of State Brad Raffensperger is played during Tuesday's hearing. (Al Drago/Pool/AP)

The latest hearing before the House select committee investigating the Jan. 6 insurrection revealed new details Tuesday about how former President Donald Trump pressured state officials to help him overturn the 2020 presidential election.

The panel featured testimony from three Republican officials who were all on the receiving end of Trump's outreach after the election: Georgia Secretary of State Brad Raffensperger, his deputy Gabe Sterling and Arizona House Speaker Rusty Bowers.

Like previous hearings, these officials testified about their unwillingness to participate in legally dubious schemes that would undermine the election, including efforts to subvert the Electoral College with fake pro-Trump electors.

The panel's next hearing is scheduled for 3 p.m. ET on Thursday and will focus on Trump's attempt to use the Justice Department to back his election disinformation.

Here are some of the key takeaways from Tuesday's hearing:

Republican witnesses tie Trump directly to fake electors effort

Multiple witnesses told the committee that Trump was personally involved in the effort to put forward slates of fake electors in key battleground states — a key part of the broader effort to overturn Biden's legitimate election victory.

CNN has previously reported on the role that key Trump allies, including his former attorney Rudy Giuliani, played in overseeing the effort but witnesses revealed new details Tuesday about how the former President himself was not only aware of the push, but seemingly endorsed it.

Bowers told the committee that he received a call from Trump and Giuliani during which they urged him to go along with a plan to put forward illegitimate, pro-Trump electors from the state.

""I told them I did not want to be used as a pawn,"" Bowers said on Tuesday, recalling what he told Giuliani and Trump on the Nov. 22, 2020 phone call.

Committee reveals new details about how congressional Republicans helped Trump's efforts to overturn election

Tuesday's hearing featured new details about two congressional Republicans played a role in Trump's sprawling efforts to try to overturn his 2020 election loss. The first was Republican Rep. Andy Biggs of Arizona, who called Bowers on the morning of Jan. 6, 2021, asking him to support decertification of his state's electors for Biden.

""I said I would not,"" Bowers testified on Tuesday.

The second occurred several hours later, minutes before then-Vice President Mike Pence gaveled in the joint session of Congress to certify the electoral votes. According to text messages obtained by the committee, an aide to GOP Sen. Ron Johnson of Wisconsin asked an aide to Pence how Johnson could hand-deliver him the fake slates of Trump electors from Michigan and Wisconsin, which had not been sent to the National Archives. Pence's aide responded that Johnson should ""not give that to him.""

Both the effort to decertify Biden electors and put forward fake Trump electors were part of the Trump team's scheme to stop the congressional certification of the election on Jan. 6. The role that Trump's allies in Congress played have been of interest of interest to the committee, which has subpoenaed five House GOP members, including Biggs and House Minority Leader Kevin McCarthy.

Witnesses describe how Trump's lies had serious consequences — including threats

The committee's hearing underscored how the lies about the election spread by Trump and his team spiraled into multi-faceted disasters for the state officials forced to grapple with them.

All of the witnesses who appeared at Tuesday's hearing talked about the serious repercussions they faced as a result of the false claims that Trump and his team put forward. That included pressure to help in the effort to overturn the election, the repeated attempts to try to debunk the claims and the threats they faced from pro-Trump supporters for refusing to go along with Trump's efforts.

Bowers delivered emotional testimony about ""disturbing"" protests outside his home. He got emotional as he discussed the impact protests at this house had on his wife and his daughter, who was at home gravely ill at the time and was ""upset by what was happening outside."" He also read passages from his personal journal about friends who had turned on him.

Raffensperger described the attacks that his wife faced after the election, which he said he suspected was an attempt to pressure him to quit. Schiff cited Raffensperger's book, in which he wrote, ""I felt then and still believe today that this was a threat.""

Republican officials take the lead testifying against Trump

Yet again, the Democratic-run January 6 committee turned to Republican officials to make their case against Trump. In fact, the majority of the in-person witnesses so far have been Republicans.

Tuesday's hearing featured in-person testimony from three conservative Republicans who endorsed Trump in 2020. The committee also played deposition clips from two other GOP officials: Michigan State Senate Majority Leader Mike Shirkey and Pennsylvania House Speaker Bryan Cutler.

They all provided damning testimony against Trump, describing how he repeatedly tried to twist their arms and cajole them to overturn the results. They also described the threats and pressure they faced from Trump supporters who believed his election lies and protested outside their homes and offices and bombarded them with calls and text messages.

Top Arizona Republican refutes Trump in real-time

Bowers said under oath Tuesday that Trump lied about him in a press release that came out shortly before the hearing started, where Trump claimed Bowers told him in November 2020 that he believed the election was rigged.

In the statement, Trump attacked Bowers and described a call they had after the election, claiming, ""during the conversation, he told me that the election was rigged and that I won Arizona."" Trump added, ""Bowers should hope there's not a tape of the conversation.""

Under questioning from Schiff, Bowers confirmed that he ""did have a conversation with the president, but that certainly isn't it.""

Emotional testimony highlights victims of Trump's disinformation

Later in the day, the committee heard from Wandrea ""Shaye"" Moss and her mother Ruby Freeman, who were election workers in Atlanta during the 2020 election. Trump, Giuliani and other GOP figures put them both at the center of their unhinged lies about massive voter fraud in Georgia.

Coverage of Trump's presidency often focused on his words and lies. But the emotional and deeply personal testimony from Moss and Freeman flipped the script and showed the human toll of Trump's lies.

They described in devastating terms how Trump's lies essentially destroyed their lives.

Moss said she felt ""helpless"" and stopped giving out her business card because ""I don't want anyone knowing my name."" Her mother said she gets ""nervous when I have to give food orders"" because someone who believes Trump's lies might recognize her name. She said she felt ""homeless"" while she lived in hiding for two months after the FBI told her she wasn't safe at home.

""I have lost my sense of security, all because of a group of people, starting with (Trump) and his ally Rudy Giuliani, decided to scapegoat me, and my daughter, Shaye, to push lies about how the election was stolen,"" Freeman said in a videotaped deposition, a clip of which was played during Tuesday's hearing.",2022-06-21,1
65e5131c4390593f61fbad04,Election 2020 presidential results,"https://media.cnn.com/api/v1/images/stellar/prod/201030162605-04-trump-biden-election-night-split.jpg?q=x_0,y_0,h_619,w_1100,c_fill/w_800",https://edition.cnn.com/politics/live-news/election-results-and-news-11-04-20/index.html,2020-11-05,The latest on election results: Live updates  CNN,"President Trump’s team launched a series of lawsuits in key battleground states that seemed less about sound legal reasoning and more about slowing Joe Biden from marching over the electoral vote threshold.

At times, the lawsuits have contested ballots in the double digits — hundreds if not thousands of votes away of potentially swing any state’s result.

“Admitting defeat is not a plausible reaction so soon after the election, so they throw a lot of Hail Mary lawsuits at the wall and hope something sticks,” said longtime Republican elections lawyer and CNN contributor Ben Ginsberg. He said these types of suits aren’t indicative of a campaign that’s feeling optimistic — and instead, is scrambling.

“I think much of the litigation is a longshot and unlikely to succeed,” said Franita Tolson, a law professor at USC Gould School of Law and CNN contributor.

She pointed to a lawsuit in Georgia the Trump campaign announced Wednesday night over a poll worker mixing unprocessed and processed absentee ballots. That might have the potential to affect few votes, she said.

“I suspect that a big goal of this litigation is, in the short term, to change the narrative” from a potential Biden win to a conversation about election mismanagement or even fraud, Tolson said.

Another law professor and CNN contributor, Rick Hasen, said the lawsuits appeared to be more public relations than serious litigation. “These lawsuits so far are not tackling any major problem that would seem to call overall vote totals into questions,” he said.

Justin Levitt, another elections expert and law professor, called some of the suits, like in Michigan, “laughable.”

“One says you didn’t put people by absentee dropboxes, so stop the count. Huh?!”

Even a Republican-appointed federal judge in Pennsylvania cast doubt on the validity of a suit from Republicans on Wednesday, when they challenged fewer than 100 ballots that absentee voters corrected in a county outside Philadelphia. At a hearing Wednesday morning, the judge, Timothy Savage, did not rule, yet he suggested the lawyer for Republican canvass observers was seeking to disenfranchise votes. He noted the lawsuit appeared to have other problems in its arguments.

Some legal challenges in Pennsylvania from the Trump campaign were quickly dismissed on Election Day, with Trump touting his appeals of those losses apparently as new cases Wednesday. For instance, a Philadelphia election day judge had shot down a Trump campaign case over ballot processing access, writing that “observers are directed only to observe and not to audit ballots” and deciding that the city’s board of elections complied with the law. Another Election Day challenge from the Trump campaign to the ballot observation process in Bucks County, Pennsylvania, also near Philly, was dismissed by a judge, though Trump is now appealing, according to Pennsylvania court records.

Lawyers for the Trump campaign sued in Nevada on Tuesday, too, claiming that their observers were not given enough access to all aspects of the ballot counting process — from opening the ballots, to machine and manual signature checking and duplicating spoiled ballots. A Nevada judge denied the GOP challenge to the early voting process in the heavily Democratic county.

“If this last-minute suit were successful, it would require a major change in how [Nevada] processed absentee [ballots] to determine if the signature on the ballot matched the voter’s prior signature on file,” said Richard Pildes, a constitutional law professor at New York University and CNN election law analyst. “Courts are typically unwilling to let plaintiffs come in the door so late in the day and ask for major changes to a process that’s already well underway.”

However, one suit, the petition before the US Supreme Court on Pennsylvania’s ballot deadline, may be a more serious litigation challenge. It challenges the validity of potentially several thousand votes cast in good faith by voters, but received by officials after the election through the mail.

For this case to make a difference, Pennsylvania would need to be the deciding state for the election, and the margin of difference between Trump and Biden would need to be a few tens of thousands of votes.

CNN’s Maeve Reston and Stephen Collinson contributed to this report.",2020-11-05,1
65e5131c4390593f61fbacff,Trump indicted in Georgia election probe by Fulton County grand jury,https://cdn.cnn.com/cnnnext/dam/assets/230808122319-05-donald-trump-072923-super-tease.jpg,https://edition.cnn.com/politics/live-news/trump-fulton-county-georgia-08-14-23/index.html,2023-08-14,"August 14, 2023 - Trump indicted in Georgia election probe by Fulton County grand jury  CNN","The most astonishing aspect of former President Donald Trump’s fourth criminal indictment is not the scale of an alleged multi-layered conspiracy to steal Georgia’s electoral votes in 2020 from their rightful winner.

It is that Trump – the accused kingpin of the scheme to overturn Joe Biden’s victory, who was charged on Monday along with 18 others – could in 17 months be raising his right hand as the 47th president and swearing to preserve, protect and defend the Constitution he was accused of plotting to shred.

The grave political crisis created by Trump’s aberrant presidency and subsequent efforts to hold him to account deepened significantly just before midnight with the unsealing of yet another indictment against him – this one from a grand jury in the critical swing state of Georgia.

The charges in this state case – which bring to 91 the total number of criminal charges he’s facing across four separate cases – intensified an already epochal collision between Trump’s now extreme legal quagmire and the 2024 election in which he is the front-runner for the Republican nomination.

Read the full analysis here:",2023-08-14,2
65e58494813b1284e12103a0,Here are the names and titles of all 19 people charged in Georgia case,https://dynaimage.cdn.cnn.com/cnn/digital-images/org/cc00ca5c-dcd3-48a2-b600-018b0f2875ae.jpg,https://edition.cnn.com/politics/live-news/trump-fulton-county-georgia-08-14-23/h_c519d109a844b5c9932d605662e9066d,2023-08-14,"August 14, 2023 - Trump indicted in Georgia election probe by Fulton County grand jury  CNN","Hillary Clinton reacted to the news of the Georgia grand jury returning indictments in an interview on MSNBC Monday night.

""Well, it's hard to believe, I don't feel any satisfaction. I feel great, you know, just great profound sadness that we have a former president who has been indicted for so many charges that went right to the heart of whether or not our democracy would survive,"" Clinton said.

""We'll wait to see what the indictments themselves say because clearly this investigation has been very thorough, but I don't know that anybody should be satisfied,"" Clinton said. ""This is a terrible moment for our country to have a former president accused of these terribly important crimes. The only satisfaction may be that the system is working. That all of the efforts by Donald Trump, his allies, and his enablers to try to silence the truth to try to undermine democracy have been brought into the light and justice is being pursued.""

Speaking on holding Trump accountable, she said, ""I hope that we won't have accountability just for Donald Trump and if there are others named in these indictments along with him for their behavior but we will also have accountability for a political party that has just thrown in with all the lies and the divisiveness and the lack of any conscience about what has been done to the country.""

While the grand jury hearing the Trump case has returned indictments, details of who may be charged are not yet known.",2023-08-14,2
65e5131c4390593f61fbacfe,How CNN made its projection that Trump has won the Iowa caucuses,https://dynaimage.cdn.cnn.com/cnn/digital-images/org/8b608f15-70ec-4640-b458-eed25e994eff.JPG,https://news.google.com/rss/articles/CBMiYGh0dHBzOi8vd3d3LmNubi5jb20vcG9saXRpY3MvbGl2ZS1uZXdzL2lvd2EtY2F1Y3VzZXMtMDEtMTUtMjQvaF9iMDVjYTRmNzU1YzNhYWVhNmI0NWNlMTI2NDQ0MzM4ZdIBTGh0dHBzOi8vYW1wLmNubi5jb20vY25uL3BvbGl0aWNzL2xpdmUtbmV3cy9pb3dhLWNhdWN1c2VzLTAxLTE1LTI0L2luZGV4Lmh0bWw?oc=5&hl=en-US&gl=US&ceid=US:en,2024-01-16,Live updates: The latest on the Iowa caucuses and 2024 primary campaign  CNN,"Former President Donald Trump speaks as he visits a caucus site at Horizon Event Center in Clive on Monday. Sergio Flores/Reuters

Former President Donald Trump will win the Iowa caucuses, CNN projected on Monday, solidifying his place as the front-runner for the 2024 Republican nomination.

CNN’s projection was based on entrance polls conducted for the National Election Pool by Edison Research. These polls are carried out at a scientifically random sample of caucus sites across the state among voters who have shown up to participate.

As of 7 p.m. CT/8 p.m. ET, doors at caucus sites had closed and no one else would be allowed inside to participate, and entrance poll interviewing was complete.

At the time of CNN’s projection, at 7:30 p.m. CT/8:30 p.m. ET, the former president's broad lead in the entrance poll’s representative sample was statistically significant. By that time, votes had been reported in multiple counties and from several sample precincts, which also suggested a broad Trump lead.

Other major national news organizations projected Trump as the winner at roughly the same time as CNN.",2024-01-16,2
65e4447d396409552c7bfa65,"Trump wins Iowa caucuses, DeSantis finishes second ahead of Haley",https://cdn.cnn.com/cnnnext/dam/assets/240114114934-split-donald-trump-nikki-haley-ron-desantis-super-tease.jpg,https://edition.cnn.com/politics/live-news/iowa-caucuses-01-15-24#h_58774feb83e9a0d59e35709bbd746d09,2024-01-16,Live updates: The latest on the Iowa caucuses and 2024 primary campaign  CNN,"Nikki Haley during a Fox News town hall in Des Moines on January 8. Rachel Mummey/Bloomberg/Getty Images

Republican presidential candidate Nikki Haley claimed the US has “never been a racist county” during an interview with Fox News Tuesday.

Haley’s remarks were in response to MSNBC Joy Reid’s comments on whether Haley could win the GOP nomination as a woman of color. Haley suggested Reid “lives in a different America than I do,"" pointing to her own rise as the daughter of immigrants to governor and UN ambassador.

“I mean, yes, I'm a brown girl that grew up in a small rural town in South Carolina who became the first female minority governor in history, who became an UN ambassador and who is now running for president. If that's not the American dream, I don't know what is. You can sit there and give me all the reasons why you think I can't do this. I will continue to defy everybody on why we can do this. And we will get it done,” Haley said.

When asked by ""Fox & Friends” host Brian Kilmeade if the GOP is a racist party, Haley made a broader point that the US have “never been a racist country.”

“We're not a racist country, Brian. We've never been a racist country. Our goal is to make sure that today is better than yesterday. Are we perfect? No. But our goal is to always make sure we try and be more perfect every day that we can,” Haley said.

“I know, I faced racism when I was growing up. But I can tell you, today is a lot better than it was then. Our goal is to lift up everybody. Not go and divide people on race or gender or party or anything else. We've had enough of that in America,” she added.

A Haley campaign spokesperson looked to clarify those comments later Tuesday, saying “America has always had racism, but America has never been a racist country. The liberal media always fails to get that distinction. It can throw a fit, but that doesn’t change Nikki’s belief that America is special because its people are always striving to do better and live up to our founding ideals of freedom and equality.”

More context: Haley had previously faced criticism for failing to mention slavery when initially asked by a voter about the cause of the Civil War during a town hall last month. Following mounting backlash, Haley said “of course” slavery was the cause of the Civil War, adding she assumed it was a “given.” The former South Carolina governor on Tuesday said her motivation for running for president is to prove gender or race don’t act as a deterrent. CNN has reach out to Haley’s campaign for comment.",2024-01-16,2
65e5131c4390593f61fbace2,The latest on Biden’s inauguration and security threats,"https://media.cnn.com/api/v1/images/stellar/prod/210115103632-us-capitol-fence-0114.jpg?q=x_2,y_138,h_1123,w_1995,c_crop/w_800",https://edition.cnn.com/politics/live-news/biden-inauguration-dc-capitol-news-01-16-21/index.html,2021-01-16,Biden's inauguration and US capitol news: Live updates  CNN,"An area closed sign is posted on fencing outside the US Capitol on January 16, in Washington, DC. Eric Thayer/Getty Images

US Capitol Police arrested a Virginia man as he attempted to pass through a police checkpoint in a locked-down zone of downtown Washington, DC, Friday with “unauthorized” inaugural credentials, an unregistered handgun and over 500 rounds of ammunition, according to court documents.

Shortly after 6:30 p.m., Wesley Allen Beeler, 31, stopped at the checkpoint just north of the Capitol building, according to a police affidavit made public Saturday, and presented the credential that was “not authorized to enter the restricted area.”

Beeler was released from custody Saturday after a brief court appearance in Washington, DC, Superior Court. A law enforcement official said that investigators do not consider him a threat to public safety.

When police asked Beeler if he was carrying any weapons, Beeler told them he had a Glock semi-automatic pistol in the center armrest, according to the court document, which noted that the gun was loaded.

Police later recovered the pistol, as well as 509 rounds of ammunition, shotgun shells and a magazine for the handgun, according to an incident report provided by the Washington, DC, Metropolitan Police Department. Beeler was arrested for possession of an unregistered firearm and possession of unregistered ammunition, among other offenses, the report said.

CNN had originally reported that the credential Beeler presented was “fake,” citing the law enforcement official, but the affidavit released Saturday described it as “unauthorized.”

Capitol Police spokeswoman Eva Malecki said Beeler had presented “a non-government issued credential.”

In an interview, Beeler’s mother, Charlotte Beeler, said that her son worked in armed security and had been on a job in the Capitol area for the past few days.

He was ordered to stay out of DC except for in-person court appointments and meetings with his lawyer. Government prosecutors had not opposed his release under the conditions.

Beeler appeared via video conference in the hearing wearing a dark jacket and a face mask. He spoke only briefly, once telling a judge “yes, ma’am,” when asked if he understood the conditions of his release.

He is scheduled to return to court in June.

UPDATE AND CLARIFICATION: This story has been updated to add in new information from the court proceedings. It also clarifies that the ID was “unauthorized.”",2021-01-16,1
65e4447d396409552c7bfa67,Mike Pence town hall on CNN: Live updates,https://cdn.cnn.com/cnnnext/dam/assets/230607184604-10-cnn-pence-town-hall-0607-super-tease.jpg,https://edition.cnn.com/politics/live-news/mike-pence-cnn-town-hall/index.html,2023-06-07,Mike Pence town hall on CNN: Live updates  CNN,"Former Vice President Mike Pence participates in a CNN Republican Presidential Town Hall moderated by CNN’s Dana Bash at Grand View University in Des Moines, Iowa, on Wednesday, June 7. Will Lanzoni/CNN

Former Vice President Mike Pence criticized his former boss President Donald Trump for his efforts to overturn the 2020 election results and his praise of Russian President Vladimir Putin in a CNN town hall on Wednesday night.

Pence appeared at the town hall hosted by CNN’s Dana Bash at Grand View University in Des Moines, Iowa, hours after he officially launched his bid for the 2024 Republican presidential nomination from the same state.

Here are four moments Pence separated himself from Trump:

Vladimir Putin and Russia's war in Ukraine: One of Pence’s sharpest criticisms of Trump came when he was asked about the United States’ role in helping Ukraine to repel Russia’s invasion. After arguing that the US should accelerate its support for the Ukrainian military, Pence pointed to Trump’s description of Putin in a February 2022 radio interview as a “genius” for his invasion of Ukraine. “I know the difference between a genius and a war criminal, and I know who needs to win the war in Ukraine,” Pence said.

January 6 insurrection: Pence broke with Trump over the legal fates of those who rioted at the US Capitol on January 6 – and have since faced criminal charges and convictions. Trump said he would consider pardoning many of those rioters, who he said were being treated “very unfairly.” Pence, though, said the United States “cannot ever allow what happened on January 6 to happen again in the heart of our democracy.” “I have no interest or no intention of pardoning those that assaulted police officers or vandalized our Capitol. They need to answer to the law,” he said.

Social Security: Pence said Social Security and Medicare need to be reformed, saying both programs are tracking toward bankruptcy in the next five or 10 years. “It is also disappointing to me that Donald Trump's position on entitlement reform is identical to Joe Biden's. I mean, their policy is insolvency,” he said.

Immigration: Pence said he would not bring back his administration's controversial family separation policy to manage migrants at the US-Mexico border — breaking with Trump's comments during the CNN town hall last month. The “zero tolerance” policy encapsulated the lengths Trump’s administration was willing to go to deter migrants from coming to the United States, and Trump said it remained a strong deterrent. “When you say to a family that if you come, we’re going to break you up, they don’t come,” Trump said during the town hall.

And here are other key takeaways from the town hall:

Justice Department investigations: Pence urged the Justice Department not to indict his onetime boss, saying such an indictment would fuel division inside the country and “send a terrible message to the wider world.” While Pence said that “no one is above the law,” he said the DOJ could resolve its investigation into Trump’s potential mishandling of classified documents without resorting to an indictment, just as the department informed Pence’s attorney last week that there would be no charges brought in the case of the classified documents discovered in his home.

Transgender children: Pence repeatedly highlighted his support for “parents’ rights,” especially when it comes to schools. But he said the judgment of those same parents should not apply to situations when a minor is seeking gender transition care. “I strongly support state legislation, including, as we did in Indiana, that bans all gender transition, chemical or surgical procedures, under the age of 18,” he said – even when parents support their child’s decision to go forward.

Pro-life stance on abortion: Pence made clear he would not deviate from his anti-abortion position, saying, “We will not rest or relent until we restore the sanctity of life to the center of American law in every state in the country"" and that he does not apologize for being pro-life. On the question of a federal ban on the procedure, Pence said he supported exceptions for rape, incest and the life of the mother. He also offered qualified support for social spending programs to help support newborns and new parents but stopped short of specifically endorsing paid family leave for all Americans or subsidized child care.

Read more takeaways here.",2023-06-07,1
